	clusterAT1-like_names	clusterAT1-like_logfoldchanges	clusterAT1-like_pvals_adj	clusterAT1-like_percent_expressed	clusterAT1-like_auroc	clusterAT1-like_auprc	clusterAT2_names	clusterAT2_logfoldchanges	clusterAT2_pvals_adj	clusterAT2_percent_expressed	clusterAT2_auroc	clusterAT2_auprc	clusterAT2-like_names	clusterAT2-like_logfoldchanges	clusterAT2-like_pvals_adj	clusterAT2-like_percent_expressed	clusterAT2-like_auroc	clusterAT2-like_auprc	clusterCiliated cell_names	clusterCiliated cell_logfoldchanges	clusterCiliated cell_pvals_adj	clusterCiliated cell_percent_expressed	clusterCiliated cell_auroc	clusterCiliated cell_auprc	clusterClub cell_names	clusterClub cell_logfoldchanges	clusterClub cell_pvals_adj	clusterClub cell_percent_expressed	clusterClub cell_auroc	clusterClub cell_auprc	clusterEarly EMT_names	clusterEarly EMT_logfoldchanges	clusterEarly EMT_pvals_adj	clusterEarly EMT_percent_expressed	clusterEarly EMT_auroc	clusterEarly EMT_auprc	clusterEarly gastric_names	clusterEarly gastric_logfoldchanges	clusterEarly gastric_pvals_adj	clusterEarly gastric_percent_expressed	clusterEarly gastric_auroc	clusterEarly gastric_auprc	clusterEndoderm-like_names	clusterEndoderm-like_logfoldchanges	clusterEndoderm-like_pvals_adj	clusterEndoderm-like_percent_expressed	clusterEndoderm-like_auroc	clusterEndoderm-like_auprc	clusterGastric-like_names	clusterGastric-like_logfoldchanges	clusterGastric-like_pvals_adj	clusterGastric-like_percent_expressed	clusterGastric-like_auroc	clusterGastric-like_auprc	clusterHigh-plasticity cell state_names	clusterHigh-plasticity cell state_logfoldchanges	clusterHigh-plasticity cell state_pvals_adj	clusterHigh-plasticity cell state_percent_expressed	clusterHigh-plasticity cell state_auroc	clusterHigh-plasticity cell state_auprc	clusterLate gastric_names	clusterLate gastric_logfoldchanges	clusterLate gastric_pvals_adj	clusterLate gastric_percent_expressed	clusterLate gastric_auroc	clusterLate gastric_auprc	clusterNeuronal-like_names	clusterNeuronal-like_logfoldchanges	clusterNeuronal-like_pvals_adj	clusterNeuronal-like_percent_expressed	clusterNeuronal-like_auroc	clusterNeuronal-like_auprc	clusterPre-EMT_names	clusterPre-EMT_logfoldchanges	clusterPre-EMT_pvals_adj	clusterPre-EMT_percent_expressed	clusterPre-EMT_auroc	clusterPre-EMT_auprc
0	Col4a4	inf	0.0	0.963543235914432	0.9301025287663888	0.6115167618652656	Hc	inf	0.0	0.930902394106814	0.9004351033585216	0.743451732981106	Tmsb4x	inf	0.0	0.8905761500669942	0.850780626849996	0.164354724966059	Dnah12	inf	0.0	0.9849498327759197	0.9916678656826792	0.9433381679146934	Scgb1a1	inf	0.0	0.9085872576177285	0.9451317492903883	0.4404926953698462	Hmga2	inf	0.0	0.854122621564482	0.9131666677104162	0.8028727122351124	Sftpb		0.0	0.964279335595642	0.7325008877727677	0.1689454370933272	Malat1		0.0	0.9991480298189563	0.7688069294315903	0.34578508427969523	Ppm1h	inf	0.0	0.8680238020670216	0.7941715069479488	0.5592118127815544	Gm12648	inf	0.0	0.6221873364730508	0.8011067453575924	0.44018911417015255	Sfmbt2	352.27927	0.0	0.4299439551641313	0.7044997770261419	0.287129745925296	Tcf4	inf	0.0	0.8148825861543153	0.7615935006247785	0.17783454010882407	Ntm	inf	0.0	0.7214052287581699	0.80939927130145	0.32422926319072104
1	Col4a3	inf	0.0	0.9532991865019584	0.9174858506473708	0.5388311479644179	Nkd1	inf	0.0	0.9452670349907919	0.8848812369205759	0.6848075674716231	Sftpc		0.0	0.9133541759714158	0.8281410490909067	0.2217511428501132	Rgs22	inf	0.0	0.939799331103679	0.9688489955595784	0.8808807423659666	Cbr2	inf	2.5341520444642234e-292	0.8060941828254847	0.8973039661212446	0.5444468813466927	Fbln2	inf	0.0	0.7877906976744186	0.8839589422713208	0.76479326593568	Cacna1a	inf	0.0	0.5493838185390248	0.6990478015786272	0.24072339099595652	Pkhd1		0.0	0.8917997870074548	0.7674255418302538	0.3048631504579279	Zmat4	inf	0.0	0.8138427810836204	0.7871541685821862	0.49587089967726417	Mlph		0.0	0.9523809523809523	0.7987194443285941	0.16537596056042572	Fmnl2	515.6301	6.344266954911072e-276	0.5732586068855084	0.6728721452760126	0.09992876977019183	Flt1	inf	0.0	0.5940835620616042	0.7583090876739955	0.3447012719219883	Tenm4	inf	0.0	0.7487745098039216	0.7758033322749429	0.16980285206890955
2	Lmo7		0.0	0.9575173244953299	0.8815088495071696	0.31412883546808	Mecom		0.0	0.9940331491712707	0.8733106400088516	0.5247681467484426	Cldn18	inf	0.0	0.8436802143814203	0.8159447330432854	0.19667669950144584	Dnah5	inf	0.0	0.9280936454849499	0.9626046838749566	0.8613575526112458	Fmo3	inf	1.3742504671965605e-231	0.7202216066481995	0.8538120824851081	0.5276907687158248	Myo10	inf	0.0	0.8837209302325582	0.8620635841077058	0.6985657483963071	Shank2	inf	0.0	0.7465618860510805	0.6868389454151951	0.14651346236978863	Gm26740	724.29254	0.0	0.6526091586794462	0.7587689082525254	0.4091116946527693	Gm36975		0.0	0.9537738803632947	0.7686084363103133	0.4760781876007499	Dysf	inf	0.0	0.6902145473574045	0.7924710626868919	0.3735737633689499	Fmo2	604.4412	2.80779266335055e-255	0.5898051774753136	0.6662965252476236	0.11585161819056838	Ldb2	inf	0.0	0.5230253125953035	0.7488071109784471	0.40857813378656255	Mecom		0.0	0.9869281045751634	0.758865941942778	0.07093057969170546
3	Nebl		0.0	0.9343175655317867	0.8688090912349151	0.35252398224776815	Ank3		0.0	0.9979373848987109	0.8499009391204047	0.575355472894846	Sftpa1	inf	0.0	0.8338543992853953	0.8143772431362046	0.32965151474676174	Lyrm1	inf	0.0	0.931438127090301	0.9598214622714226	0.7566341362340194	Selenbp1	inf	2.5390651578969975e-211	0.8933518005540166	0.8380061932421019	0.16269404479835842	Ext1	inf	0.0	0.9559548978153629	0.8490614842522681	0.6493890349212821	Tcf7l1	inf	0.0	0.820860868012145	0.673532640952435	0.15367888026113993	Rasgrf1	662.8154	0.0	0.6390841320553781	0.7455938807716058	0.4005204160545507	Celf4		0.0	0.9336673974318822	0.7675876517619276	0.41403297272199324	Itga2	inf	0.0	0.8623757195185766	0.790842263367682	0.09780519259939448	Cwc27	inf	2.142962957755204e-251	0.6733386709367494	0.6650200008106072	0.10679365817673364	Arl15	inf	0.0	0.7926197011283928	0.726227028540946	0.21612220554580513	Pmepa1	inf	0.0	0.8129084967320261	0.7582896131979908	0.13901265997812784
4	Qk	inf	0.0	0.9361253389575174	0.8670664180721188	0.40445571691884685	Pde4d		0.0	0.9899815837937385	0.8413348768296676	0.579140416601909	Npc2		0.0	0.9522108083966057	0.8114598659544678	0.19283172910650717	Cfap299	inf	0.0	0.9130434782608695	0.9535421464436019	0.816017284543179	Bmpr1b	inf	1.4389210551910362e-206	0.7368421052631579	0.834136822305481	0.3151133533687691	Frmd4a	inf	0.0	0.8090204369274137	0.8486754035954451	0.6768195821537412	Meg3		0.0	0.8703339882121808	0.6617504746263749	0.13022639717059165	Lrmda		0.0	0.9466453674121406	0.7416764941441523	0.3185286954450031	Car8	inf	0.0	0.7647979956154087	0.7550120701337585	0.4575612344275836	Akr1d1	inf	0.0	0.5928833071690215	0.7892356247312728	0.4979460932279839	Adgrl3	637.3442	1.1037393780246896e-234	0.537496663997865	0.6594339153013391	0.09441080694079185	Prex2	474.7651	0.0	0.4760597743214395	0.7254793922708295	0.33203673657719124	Clu		0.0	0.7965686274509803	0.7567042041980446	0.13181532584422237
5	Mecom		0.0	0.9888520638746611	0.8326733297691191	0.16925889020551876	Tspan11		0.0	0.932744014732965	0.8354694904221224	0.577382500735271	S100a6	inf	0.0	0.8664582402858418	0.7893468532729481	0.08747750795097428	Cfap54	inf	0.0	0.9214046822742475	0.9517502503609099	0.6943789853158814	Gm15883	inf	1.032995003763285e-201	0.667590027700831	0.8301532196792631	0.5215375243398889	Mast4	inf	0.0	0.8454016913319239	0.844417016188037	0.6385493433720957	Atp6v0a4		0.0	0.8078228255045544	0.6601080249798679	0.11250144554898925	Hif3a	544.14355	0.0	0.6003194888178913	0.7274597022439606	0.35867306160956497	Snhg11	inf	0.0	0.8076417162543063	0.7489490992643539	0.458614697315337	Golm1	638.2768	1.6110966856822475e-245	0.7404500261643119	0.725538251942883	0.08270652801546848	Zfp704	inf	4.279198250011526e-232	0.7574059247397918	0.6585464478424413	0.12454009491550327	Prkg1	inf	0.0	0.5773101555352241	0.7144238191818965	0.25284575042371976	Ldlrad4	inf	0.0	0.8737745098039216	0.7292194038591409	0.10959127282638201
6	Magi1		0.0	0.9810183790298282	0.8324136753093012	0.2800969258157283	Zbtb16	inf	0.0	0.8767587476979742	0.8339093660193098	0.5705723478875322	Sftpd	inf	0.0	0.8276016078606521	0.7767445936851756	0.1535842029746528	Cfap44	inf	0.0	0.9013377926421404	0.9498841623202715	0.8404231184568896	Cp	inf	8.361231066238974e-190	0.7049861495844876	0.8202817567869906	0.3173279552534668	Fn1	inf	0.0	0.8648696264975335	0.8299789458351078	0.4525458076257878	Ralgapa2		0.0	0.9580282193248795	0.658929986963612	0.13087882618990035	Sh3d19		0.0	0.920447284345048	0.7197854611750416	0.27266681609135984	Tshz2	inf	0.0	0.8107109301597244	0.7418875794013624	0.3904417617169218	Gm26740	742.34	2.2941643624974225e-244	0.6368393511250654	0.7249844268500166	0.0986749054613888	Kif13a	inf	2.099712333226293e-214	0.7547371230317588	0.6523962658248725	0.12416548972488084	Ablim1	711.59534	0.0	0.6239707227813358	0.7138110819710608	0.1440685373318794	Sdc1	821.3316	0.0	0.6286764705882353	0.7267816903806267	0.2069264287422576
7	Fam189a2	inf	0.0	0.7595661343778246	0.8196594732570669	0.3757277674164974	Prmt8	inf	0.0	0.7675874769797422	0.8088747682467496	0.5785771702047879	Ctsh		0.0	0.9562304600267977	0.7571128678015093	0.08549771277123354	Ccdc162	inf	0.0	0.9264214046822743	0.9498361865215381	0.6498673525673286	Cyp2f2	inf	4.080863558765741e-186	0.6440443213296398	0.8171304675110399	0.4297635639504512	Ltbp1	inf	0.0	0.6908914728682171	0.8285482950926	0.6431059764696068	Kng2	346.2265	0.0	0.44740132166458296	0.6578448932875443	0.17247626985510844	Itga2	inf	0.0	0.7446219382321618	0.7187170883115825	0.29081667176459597	Azin1	inf	0.0	0.8118383964923269	0.7372108225213581	0.43227505293659496	Celf4		1.380945320885166e-238	0.9094714809000524	0.7222997025085901	0.08008292084632217	Adamts9	533.82635	8.010112287259242e-204	0.617827595409661	0.648599055009073	0.10396354323494456	Calcrl	698.8679	0.0	0.4431229033241842	0.7111792119112263	0.34101328046605106	Las1l	inf	4.39008311407909e-301	0.7365196078431373	0.7213365838040937	0.15163448722262324
8	Bcar3	inf	0.0	0.8264537511298584	0.8167285150361165	0.29322967835863467	Pip5k1b		0.0	0.9502025782688767	0.8064093250481232	0.5477415253358832	Emp2	755.29395	0.0	0.7342563644484145	0.7534445928994385	0.11851282440877556	Dnah6	inf	0.0	0.9080267558528428	0.9493732655384516	0.7165973902211467	Gna14	inf	2.0524423780948278e-175	0.6412742382271468	0.807907383349364	0.3912437005375342	Dst	inf	0.0	0.813953488372093	0.8202709520401866	0.560390124991659	Gm13944	515.3596	0.0	0.6079657081621718	0.6567258559908475	0.15717844577790685	Myo3b	510.18842	0.0	0.5731629392971246	0.7136445220402088	0.3418628129398894	St6galnac3	inf	0.0	0.7948011274663326	0.7231896267610916	0.3730731127073946	Krt7	inf	2.615824034389735e-228	0.7331240188383046	0.7174653086246721	0.07231669223353264	Ros1	inf	2.4944984985081964e-202	0.6501200960768615	0.6480480661359066	0.1004803168687986	Ptprb	625.45276	0.0	0.4467825556572126	0.710642591578509	0.33774885095528495	Il18r1	inf	3.238686119451153e-291	0.7107843137254902	0.7176782971775894	0.11865363353573316
9	Gramd2	inf	0.0	0.7420909912624284	0.8007320493299444	0.32187190115796444	Nedd4l		0.0	0.9348066298342541	0.8008222070337447	0.5326030502543676	Areg	826.43713	0.0	0.6775346136668156	0.7513804580438205	0.1532441978535692	Fhad1	inf	0.0	0.9063545150501672	0.9478153367396303	0.69977689768563	Epas1	inf	2.397630777696713e-171	0.760387811634349	0.8043055056599534	0.18818508012951357	Adgrl3	inf	0.0	0.7434813248766737	0.8146859275859238	0.5100963667726521	Dnm3	522.2678	0.0	0.6669048044293624	0.6512445905204538	0.13932119749450284	Wwox		0.0	0.8968051118210862	0.702003954311826	0.2702216970420858	Aox1	inf	0.0	0.7626683369871594	0.719719831040575	0.3964733945058062	Clu		1.4988352153372164e-213	0.8728414442700158	0.7103227626296821	0.0494746165992582	Pde1c		2.9609474594562306e-201	0.9319455564451561	0.6476484017353424	0.09811508602828284	Plcb1	819.75366	0.0	0.5163159499847515	0.7070594004075504	0.23412495905747344	Itgb6	inf	5.224167051660374e-277	0.6687091503267973	0.7123099717598488	0.09216207919871228
