,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AT2_expanding,Entpd1::Adora2b,Col6a2::Itga9,Col6a1::Itga9,Nt5e::Adora2b,Wnt3a::Fzd5,Ntn4::Ntrk2,Wnt3a::Lrp6,Gls::Grm3,Ntn4::Unc5d,Slc1a3::Grm3,Hc::C5ar1,Wnt3a::Fzd6,Slc17a8::Grm3,Icam1::Itgb2l,Col6a2::Sdc4,Col4a3::Itga9,Col6a1::Sdc4,Col6a2::Itgav,Wnt3a::Lrp5,Nrtn::Ret,Ntn1::Dcc,Col4a4::Itga9,Slc29a3::Adora2b,Slc1a2::Grm3,Col4a3::Sdc4
AT2_non_expanding,Col6a1::Itga9,Entpd1::Adora2b,Bmp8a::Acvr2a,Bmp8a::Bmpr2,Col6a2::Itga9,Jam3::Itgb2l,Icam1::Itgb2l,Gls::Grm3,Tshb::Tshr,Bmp8a::Bmpr1a,Entpd1::Adora1,Tnn::Itga9,Sema6a::Plxna2,Col4a3::Itga9,Nt5e::Adora2b,Slc1a1::Grm3,Col4a3::Sdc4,Sema6a::Plxna4,Slc17a8::Grm3,Slc18a2::Adrb2,Col4a3::Itga10,Col6a1::Itga10,Col4a4::Itga9,Col4a1::Itga9,Slc1a3::Grm3
Alveolar Macrophage_expanding,Hc::C5ar1,Ptprc::Mrc1,Icam1::Itgax,Cd200::Cd200r1,Ccl6::Ccr1,Sirpb1b::Cd47,Daglb::Gpr55,Angptl7::Pirb,Cd200::Cd200r4,Slc18a1::Htr2c,Sirpb1c::Cd47,Lgals9::Ptprc,Slc18a2::Htr2c,Icam1::Itgal,Tg::Thra,Icam1::Itgb2,Sema3d::Nrp2,Il1a::Il1r1,Grn::Sort1,Cd80::Cd274,Entpd1::Tmigd3,L1cam::Itga4,Lgals9::Havcr2,Ptn::Sdc3,Bdnf::Sort1
Alveolar Macrophage_non_expanding,Ptprc::Mrc1,Sema6d::Trem2,Cd48::Cd244a,Sirpb1b::Cd47,Sirpb1c::Cd47,F11r::Itgb2,Fcer2a::Itgb2,Tg::Thrb,Ubash3b::Esr1,Ccl6::Ccr1,Lgals9::Ptprc,Icam1::Itgb2,Sema6d::Tyrobp,Fcer2a::Itgax,Alox5::Cysltr1,Cd200::Cd200r4,Slc6a4::Htr2c,Hgf::Met,Icam1::Itgax,C3::Itgax,Tg::Thra,Slc18a2::Htr2c,Cd200::Cd200r1,Vcam1::Itgb2,App::Trem2
B cell_expanding,Lgals9::Ighm,Ptprc::Cd22,Pdyn::Oprm1,Slc17a6::Grm8,Gdf11::Acvr2b,Slc29a4::Adora2b,Hc::C5ar1,Slc17a6::Grm7,Inhba::Acvr2b,Slc17a8::Grin2d,Vsir::Igsf11,Lgals9::Cd22,Slc17a8::Grin2a,Slc17a8::Grm7,Slc29a1::Adora2b,Il11::Il11ra1,Slc17a6::Grin2a,Fn1::Itga2b,Cd200::Cd200r1,Epgn::Egfr,Tnc::Itga2b,Gls::Grm7,F11r::Itgal,Slc17a8::Grm8,Gdf11::Acvr2a
B cell_non_expanding,Lgals9::Ighm,Icam1::Itgal,Thy1::Itgav,App::Tyrobp,F11r::Itgal,Ptges2::Ptger1,Pvr::Cd226,Fcer2a::Itgav,Lrfn5::Ptprf,Slc1a3::Grik1,Daglb::Cnr2,Slc29a1::Adora2b,Ptges2::Ptger4,Tnxb::Itga8,Lrfn5::Ptprd,Wnt2b::Fzd3,Nrg2::Erbb2,Apoe::Tyrobp,Sult1a1::Ppard,L1cam::Itga4,Slc6a6::Gabbr2,Itga4::Vcam1,Lgals9::Ptprc,Lama1::Itgav,Gls::Grin1
Ciliated cell_expanding,Clec2g::Klrb1f,Ccl19::Ackr4,Wnt11::Fzd6,Cd80::Cd274,Wnt1::Fzd6,Slc1a1::Grm4,Aldh1a1::Rarb,Ptn::Ptprz1,Icam2::Itgal,Icam2::Itgb2l,Wnt1::Lrp5,Nrxn3::Lrrtm3,Slc18a2::Htr6,Col6a5::Itga11,Wnt11::Fzd4,Wnt11::Fzd7,Wnt1::Lrp6,Gad1::Gabrb3,Slc18a2::Adrb3,Wnt1::Fzd5,Fgf20::Fgfr3,Aldh1a1::Rara,Tac4::Tacr1,Il27::Il6st,Slc1a1::Gria3
Ciliated cell_non_expanding,Gdf6::Bmpr1b,Gdf6::Bmpr2,Gdf6::Acvr2a,Gdf6::Bmpr1a,Rbp4::Stra6,Slc1a1::Grin2c,Il5::Csf2rb,Aldh1a1::Rara,Slc1a7::Grin2b,Fdx1::Nr1i2,Slc1a7::Grin2c,Slc1a7::Grm7,Jag1::Notch4,Jag1::Notch3,Slc1a3::Grin2c,Tph2::Htr2c,Slc1a7::Grm1,Vegfd::Kdr,Col4a3::Itga11,Col6a5::Itga11,Aldh1a1::Rxra,Slc1a7::Grm5,Aldh1a7::Rxra,Slc6a4::Htr2c,Aldh1a7::Rxrb
Club cell_expanding,Tac4::Tacr1,Col6a5::Itga11,Slc18a1::Adra2a,Wnt7a::Fzd1,Col6a5::Itgb1,Aldh1a1::Rarb,Slc18a1::Adra1d,Gls2::Grik1,Aldh1a1::Rorb,Ntn1::Unc5c,Col6a5::Itga9,Wnt7b::Fzd1,Col6a5::Cd44,Dll4::Notch2,Slc18a1::Htr4,Gls2::Grm4,Ctf1::Il6st,Dll4::Notch3,Mdk::Ptprz1,Il11::Il6st,Cbr1::Ptgfr,Slc1a2::Grin2d,F2::F2rl2,Eda::Eda2r,Col6a5::Itga3
Club cell_non_expanding,Nmu::Nmur1,Gls2::Grin2c,Ptges2::Ptger2,Akr1c18::Cysltr1,Cd80::Cd274,Efna2::Epha7,Slc17a8::Grin1,Nrtn::Ret,Dsg2::Dsc3,Slc1a1::Grin2c,Dhcr7::Nr1h2,Angpt1::Tek,Gls2::Grin2b,Efna2::Epha4,Gls2::Grm3,Ptges::Ptger2,Efna2::Epha5,Efna2::Epha2,Comp::Cd47,Slc18a2::Htr2c,Gls::Grin2c,Icam1::Itgal,Gja1::Gja5,Slc17a8::Grm8,Tph2::Htr2a
Endothelial_expanding,Vwf::Itgb3,Ntn1::Unc5b,Lama1::Itga6,Lama1::Sv2b,Ntn1::Unc5c,Lama1::Itgb1,Vegfc::Flt4,Vwf::Itgav,Lama1::Itgav,Sema6d::Kdr,Lama1::Itga3,Lama1::Cd44,Vegfc::Kdr,Angptl4::Cdh5,Lama1::Itgb4,Gjc1::Gja5,Lama1::Itga1,Angpt2::Tek,H2-D1::Cd8b1,Dll4::Notch2,H2-K1::Cd8b1,Cxcl12::Ackr3,Angpt1::Tek,Ntn4::Ntrk2,Jag2::Notch4
Endothelial_non_expanding,Kitl::Kit,Edn3::Ednrb,Sema6a::Plxna2,Sema6d::Kdr,Dll4::Notch4,Sema6a::Plxna4,Vwf::Itgav,Jam2::Jam3,Dll4::Notch1,Vwf::Itgb3,Pecam1::Cd38,Vegfd::Kdr,Lama1::Itga9,Lama1::Itga7,Edn1::Ednrb,Lama1::Itga1,Lama1::Itgb4,Angptl4::Cdh5,Lama1::Dag1,Angpt2::Tek,Lama1::Itga2,Vegfa::Kdr,Jag1::Notch4,Jag2::Notch4,Lama1::Itgav
Mac_expanding,Vsir::Igsf11,Csf1::Csf1r,Ptges2::Ptger1,Slc18a2::Htr7,Il10::Il10ra,Lgals9::Ptprc,Ptprc::Mrc1,Angptl7::Pirb,Tg::Thrb,Hdc::Hrh1,Slc29a3::Adora2b,Ptn::Ptprz1,Icam1::Itgb2,Ceacam1::Cd1d1,Sema3d::Nrp2,Angptl2::Pirb,Slc6a6::Gabrb2,Sema7a::Plxnc1,Grn::Sort1,Tg::Thra,F11r::Itgb2,Il34::Csf1r,Bdnf::Ntrk2,Icam1::Itgal,Il15::Il15ra
