	LT1	LT2	LT3	LT_all deltaCt	FC (LT-HT)	FC (LG-LT)	HT1	HT2	HT3	HT_all deltaCt	LG1	LG2	LG3	LG_all deltaCt	FC (LG-HG)	LG-HG / LT-HT	HG1	HG2	HG3	HG_all deltaCt	HG vs HT
Sftpc	3.70	3.45	2.52	3.22	0.35	2.07	0.48	3.62	1.02	1.71	1.16	4.01	1.35	2.17	0.48	1.37	1.72	0.66	0.95	1.11	1.51
Cebpa	7.11	6.86	5.86	6.61	0.79	1.12	5.54	7.30	5.96	6.27	5.69	7.63	6.02	6.45	0.42	0.53	5.57	5.23	4.74	5.18	2.12
Nkx2-1	10.42	8.89	9.89	9.73	1.32	0.37	8.83	12.52	9.04	10.13	9.97	13.00	10.51	11.16	0.47	0.36	10.54	9.69	10.00	10.08	1.04
Gdf15	5.37	4.96	3.83	4.72	1.08	0.47	3.34	6.83	4.34	4.84	5.34	6.46	5.65	5.82	0.69	0.64	5.30	5.46	5.10	5.29	0.73
Hnf4a	6.30	7.26	5.11	6.22	0.74	2.41	4.29	7.42	5.63	5.78	4.24	5.80	4.83	4.96	0.80	1.09	4.82	4.70	4.39	4.64	2.21
Gkn2	7.09	5.72	5.67	6.16	0.57	0.66	3.75	7.48	4.83	5.35	5.80	7.32	7.17	6.76	0.57	1.00	5.75	6.36	5.75	5.95	0.66
Epcam	6.63	6.91	6.26	6.60	0.76	3.44	4.83	8.17	5.59	6.20	3.91	5.69	4.85	4.82	0.37	0.49	3.17	3.46	3.48	3.37	7.09
Slc4a11	8.16	8.85	7.24	8.09	1.08	1.13	7.66	8.90	8.01	8.19	7.74	8.75	7.23	7.91	0.39	0.36	6.76	6.52	6.32	6.53	3.16
Bmp7	6.19	7.37	8.30	7.29	1.71	0.61	9.09	7.27	7.82	8.06	8.43	7.89	7.67	8.00	1.29	0.75	8.39	7.90	8.79	8.36	0.81
Vim	1.76	1.52	1.9	1.73	1.16	0.32	3.77	0.81	1.25	1.94	4.16	2.47	3.51	3.38	2.45	2.10	3.54	4.70	5.77	4.67	0.15
Twist1	7.73	8.59	9.06	8.46	0.70	0.50	9.50	6.85	7.51	7.95	9.52	9.23	9.65	9.47	2.07	2.94	9.69	10.70	11.16	10.52	0.17
Hmga2	4.96	5.38	5.3	5.21	1.66	0.50	7.7	4.9	5.23	5.94	6.42	6.20	5.98	6.20	0.97	0.58	5.93	6.03	6.49	6.15	0.87
